,Entidad,Valor,Embedding
0,Avg. Rating,7.730,"[0.08774709701538086, 0.061751313507556915, -0.003492712276056409, -0.07469958066940308, -0.09194543212652206, 0.05008711665868759, -0.018163667991757393, -0.04380661994218826, -0.018390439450740814, -0.04227347671985626, -0.08237726986408234, 0.0326819084584713, -0.08379798382520676, -0.06208343803882599, 0.013411647640168667, 0.05994708836078644, 0.022297168150544167, 0.08064147084951401, 0.05161495506763458, -0.06194876506924629, 0.0366625115275383, -0.0067384084686636925, 0.0907612144947052, -0.010138233192265034, 0.07167341560125351, -0.003420039778575301, -0.05925065279006958, -0.022306937724351883, 0.010284452699124813, -0.04832778126001358, -0.009024320170283318, 0.016912130638957024, -0.06379955261945724, -0.0018072918755933642, 0.035995569080114365, 0.02462618425488472, -0.03529354929924011, 0.07614941149950027, -0.003427935065701604, -0.025791004300117493, -0.046014513820409775, 0.005273946560919285, 0.002083495259284973, -0.01571797952055931, -0.06623020768165588, -0.05259373411536217, -0.03975136578083038, 0.056708451360464096, -0.05708276480436325, 0.03012981079518795, 0.07502919435501099, 0.013101882301270962, 0.02215869165956974, -0.08373073488473892, 0.10271972417831421, -0.0726884976029396, -0.03706934675574303, -0.07031940668821335, 0.023270538076758385, 0.0662151649594307, -0.02588307484984398, 0.04482065886259079, -0.015980152413249016, 0.04342425614595413, -0.06809624284505844, -0.06777547299861908, 0.04756131023168564, 0.08190110325813293, -0.04152059927582741, 0.014349600300192833, -0.06731799244880676, -0.03257742524147034, 0.049859173595905304, 0.008003104478120804, 0.012061355635523796, -0.03738272935152054, 7.614326750626788e-05, -0.016838718205690384, -0.0068843127228319645, 0.07173869013786316, -0.0665251761674881, 0.02089584246277809, -0.010700169019401073, 0.05080170929431915, -0.010896946303546429, 0.0024060842115432024, 0.05432010442018509, 0.043145112693309784, -0.08556406199932098, 0.026944750919938087, -0.04160147160291672, 0.025436291471123695, 0.018410831689834595, -0.014530985616147518, -0.012305047363042831, -0.06456799060106277, -0.02505289949476719, -0.029669098556041718, 0.08628405630588531, -0.03739876300096512, -0.05924280360341072, -0.007728071883320808, -0.03248077258467674, -0.04422246292233467, 0.02658403478562832, 0.05502873659133911, -0.0839461088180542, -0.03517373651266098, 0.03168662264943123, -0.001103600487112999, -0.018323855474591255, -0.033386941999197006, -0.013454372994601727, 0.031754739582538605, 0.05468099191784859, 0.04300358146429062, 0.05146676301956177, -0.027932150289416313, 0.04593539610505104, 0.0067460061982274055, -0.008839458227157593, 0.003835030598565936, 0.010250515304505825, 0.05471579357981682, -0.04739513620734215, 0.051163122057914734, -0.037363603711128235, -0.03290257602930069, -0.02929704450070858, 0.057431258261203766, -0.07858437299728394, 0.042657215148210526, 0.03775855526328087, -0.03732168674468994, 0.035056449472904205, 0.04063012823462486, -0.00815530214458704, 0.034339454025030136, -0.02994491159915924, -0.02625701203942299, -0.06019289046525955, -0.013334283605217934, -0.056413330137729645, 0.017151711508631706, 0.0192277655005455, -0.03735434636473656, -0.011924800463020802, 0.013233567588031292, 0.03846425563097, -0.008749766275286674, -0.056422557681798935, 0.016028927639126778, -0.030462665483355522, 0.03443511575460434, -0.061312124133110046, -0.04320928826928139, -0.01179758831858635, 0.056363195180892944, 0.045176684856414795, 0.020839760079979897, 0.003969271667301655, -0.03872169181704521, -0.04111040011048317, -0.029607625678181648, 0.028931966051459312, 0.045568060129880905, -0.07936344295740128, 0.053536806255578995, -0.034096602350473404, -0.026206666603684425, 0.07969042658805847, -0.037581413984298706, -0.03244182467460632, 0.05884483456611633, 0.049139443784952164, 0.06655590981245041, -0.04908769950270653, 0.012863123789429665, -0.026218051090836525, 0.08718983083963394, 0.05549759045243263, 0.0259382501244545, -0.06606414169073105, -0.017810586839914322, -0.0197512935847044, 0.048505574464797974, 0.03470121696591377, 0.06305290013551712, 0.030606012791395187, -0.04892479255795479, -0.06671358644962311, -0.06986048072576523, -0.06561922281980515, 0.03274177759885788, 0.06394120305776596, -0.00959677342325449, 0.022815577685832977, -0.0778968334197998, 0.001571832224726677, -0.04889441281557083, 0.0026691413950175047, 0.015242090448737144, -0.006286509335041046, -0.07286927103996277, 0.04729630425572395, 0.07258505374193192, 0.003739014035090804, 0.03335859999060631, -0.06138327345252037, 0.02045276202261448, -5.190748561290093e-05, -0.04419167339801788, -0.027523696422576904, 0.04994739964604378, 0.002067537046968937, -0.006037927698343992, 0.01297837309539318, 0.05814233794808388, 0.017890961840748787, 0.01658204384148121, 0.0482819601893425, -0.054222237318754196, -0.044318076223134995, -0.003166851354762912, -0.01794431544840336, -0.06397151201963425, -0.026982557028532028, 0.008556137792766094, -0.02556680701673031, 0.0073591298423707485, -0.028356807306408882, 0.02720254845917225, -0.005608240608125925, 0.04561443254351616, 0.06486906856298447, 0.06300581991672516, -0.06346284598112106, -0.036835234612226486, -0.023412685841321945, 0.041862886399030685, -0.0514814518392086, 0.09769649058580399, -0.07726215571165085, -0.00848186481744051, -0.045800186693668365, -0.0013603195548057556, 0.07149876654148102, 0.024095479398965836, -0.05453593656420708, 0.05297142267227173, 0.05605625733733177, -0.0747685506939888, 0.03468409553170204, -0.014781666919589043, 0.06273814290761948, 0.06882462650537491, 0.016174105927348137, -0.00878844503313303, -0.031949013471603394, -0.07004205882549286, 0.02552601508796215, 0.047785017639398575, -0.03963611647486687, 0.014191649854183197, 0.07612757384777069, -0.04764484986662865, -0.05595891922712326, 0.06903330981731415, 0.04226979240775108, -0.0003800642443820834, 0.03312297165393829, -0.03562434762716293, 0.022905444726347923, 0.07543179392814636, 0.007260983344167471, 0.06511671841144562, 0.03121400810778141, -0.005573230795562267, -0.06445930153131485, 0.05630538612604141, -0.053065694868564606, 0.04255190119147301, 0.005672883242368698, -0.07693840563297272, -0.032231997698545456, 0.04977504536509514, 0.014007950201630592, -0.07571496069431305, -0.06327585130929947, 0.013370593078434467, 0.024252932518720627, 0.010787656530737877, -0.05521198362112045, -0.07173780351877213, -0.032288528978824615, -0.042651958763599396, 0.006545137148350477, -0.07208015024662018, -0.07913050800561905, -0.037844520062208176, -0.049305833876132965, 0.057953640818595886, 0.03388800099492073, -0.061923716217279434, -0.04986622929573059, 0.030269552022218704, 0.06425213068723679, 0.05329061299562454, 0.03956963121891022, -0.033660583198070526, 0.0022377842105925083, -0.04310620576143265, 0.003257747972384095, -0.033318180590867996, -0.0005012699984945357, -0.04790734127163887, 0.0397031269967556, 0.10624860972166061, 0.0019355147378519177, -0.02063637599349022, 0.032089754939079285, 0.004766969010233879, 0.05693354085087776, -0.012137660756707191, 0.023138336837291718, 0.0074055856093764305, -0.06407403200864792, 0.008408499881625175, 0.0417858362197876, -0.018766231834888458, 0.07646605372428894, 0.012076119892299175, 0.006647915113717318, 0.014850412495434284, 0.014642010442912579, -0.006922594271600246, -0.0073067015036940575, 0.04221269115805626, 0.0465298667550087, 0.034150153398513794, -0.029147427529096603, -0.05383416265249252, 0.05336988344788551, 0.027524396777153015, -0.03157217055559158, 0.028455158695578575, 0.04667000100016594, -0.052926138043403625, -0.04451312869787216, 0.04744542017579079, -0.053943026810884476, -0.025872614234685898, 0.07764017581939697, -0.028935560956597328, -0.004249136429280043, 0.008213650435209274, -0.014728369191288948, -0.015074403025209904, -0.05098371580243111, -0.035057563334703445, -0.018089568242430687, 0.04144759476184845, -0.08464401960372925, 0.023563271388411522, 0.01570802368223667, -0.0036673557478934526, 0.020463386550545692, 0.027571730315685272, 0.06583965569734573, -0.026953546330332756, 0.06196589395403862, -0.04184795171022415, 0.03525584563612938, 0.027671147137880325, -0.039927106350660324, -0.008048980496823788, 0.03626634180545807, 0.015336783602833748, 0.0372505709528923, 0.017032723873853683, -0.0018677936168387532, -0.019376397132873535, -0.08557401597499847, -0.01706116273999214, 0.01956307329237461, 0.012539591640233994, -0.024762995541095734, 0.08463466167449951, -0.007074459455907345, -0.07081660628318787, -0.07883784174919128, -0.01015794463455677, 0.012500672601163387, -0.020574530586600304, 0.06265243142843246, 0.09563888609409332, -0.009481066837906837, 0.02906467206776142, 0.05123952031135559, -0.03008243255317211, 0.026312638074159622, 0.07537759095430374, 0.03521500527858734, 0.009724760428071022, -0.049172330647706985, 0.05673897638916969, -0.009428480640053749, -0.05116579681634903, 0.06292742490768433, -0.022279629483819008, 0.016000276431441307, 0.002358768368139863, -0.0008942190906964242, -0.01365768350660801, -0.011064243502914906, -0.07672536373138428, 0.018945949152112007, 0.017848700284957886, -0.026313818991184235, 0.010829981416463852, 0.0071436441503465176, -0.07246354967355728, -0.017333470284938812, 0.0232032909989357, -0.04771140217781067, -0.007352811750024557, -0.06694599241018295, 0.01042075827717781, -0.014046390540897846, 0.00392170948907733, -0.008948072791099548, 0.02505188249051571, -0.0444626659154892, -0.019297344610095024, -0.015378495678305626, -0.013562314212322235, -0.07240182161331177, 0.021086690947413445, -0.0513170063495636, -0.03404294699430466, -0.03992950916290283, 0.0004399634781293571, -0.02001916617155075, 0.07017320394515991, -0.09449004381895065, 0.06206078454852104, 0.03491979092359543, -0.07999415695667267, 0.06353236734867096, -0.021472273394465446, -0.07710475474596024, -0.05131813511252403, 0.012979515828192234, 0.08528000861406326, 0.040956366807222366, -0.007957997731864452, -0.007625619415193796, -0.018494989722967148, 0.023254042491316795, -0.0075256177224218845, 0.03147022798657417, -0.0061598303727805614, 0.016033964231610298, -0.030837034806609154, 0.012141760438680649, 0.02390882931649685, 0.07331936061382294, 0.0016248070169240236, -0.038839612156152725, 0.07970753312110901, -0.021111151203513145, 0.029025517404079437, 0.07713202387094498, 0.03233009949326515, 0.020410295575857162, -0.01430415641516447, -0.011823565699160099, -0.04646742716431618, 0.029592055827379227, -0.061053596436977386, 0.03242393583059311, 0.04495873302221298, 0.0009237535414285958, -0.04340481013059616, 0.032301243394613266, -0.028149927034974098, 0.06131977587938309, -0.03409285843372345, 0.021262815222144127, 0.0007235360099002719, 0.011240593157708645, -0.04221713915467262, -0.023984471336007118, 0.05187201872467995, -0.044795017689466476, -0.08100688457489014, -0.048532187938690186, -0.0434468649327755, 0.07103757560253143, -0.022755686193704605, 0.009877975098788738, 0.035242144018411636, 0.04736556112766266, -0.061492711305618286, 0.005551895126700401, -0.003593942616134882, 0.011408483609557152, -0.04206473007798195, 0.02178165689110756, 0.05947618559002876, 0.04735991731286049, -0.0069961450062692165]"
1,No. of Ratings,"14,688","[0.08140064775943756, -0.013834023848176003, 0.019081566482782364, -0.07858490198850632, -0.016967391595244408, 0.0774037316441536, 0.011772832833230495, 0.0022403826005756855, 0.008789801970124245, 0.01547070313245058, -0.06642551720142365, -0.026913542300462723, -0.02173720672726631, 0.014447459951043129, 0.0008185217739082873, 0.0727817565202713, 0.08314576745033264, 0.026568586006760597, -0.00010702374129323289, -0.07482703775167465, -0.018127942457795143, 0.025559794157743454, 0.05293457955121994, -0.026749923825263977, 0.08287369459867477, -0.033082395792007446, 0.08392573148012161, -0.06733834743499756, -0.011142868548631668, -0.02545788511633873, 0.01291872002184391, 0.007243023719638586, -0.004794107284396887, -0.008664178662002087, -0.012594354338943958, -0.00020068467711098492, 0.011730484664440155, -0.016222354024648666, 0.010056830942630768, -0.03450755774974823, 0.021934669464826584, -0.01379754114896059, 0.07456865906715393, 0.0209780465811491, -0.046068232506513596, 0.01581919565796852, 0.010046064853668213, 0.004918395541608334, -0.00016709623741917312, 0.032670922577381134, 0.005986467935144901, -0.050854723900556564, 0.021756211295723915, -0.036840710788965225, 0.03432341292500496, -0.08562473207712173, -0.058348603546619415, 0.006273957900702953, 0.0002191574894823134, 0.05847889557480812, -0.04519917443394661, 0.08480507880449295, -0.0452108308672905, 0.005236384924501181, 0.010683592408895493, -0.06429289281368256, -0.06379830092191696, 0.050219956785440445, -0.026137428358197212, -0.012062241323292255, 0.014421462081372738, -0.049020517617464066, 0.049443162977695465, 0.006513902917504311, 0.025354081764817238, -0.07907875627279282, -0.012342434376478195, 0.033725179731845856, 0.009253428317606449, 0.02899317815899849, -0.05886397510766983, 0.023579059168696404, -0.03748081624507904, 0.059262778609991074, 0.023258954286575317, 0.06208338215947151, 0.04259524121880531, 0.01098728645592928, 0.05425252765417099, 0.028869887813925743, 0.01681830734014511, -0.07220815122127533, 0.026817679405212402, 0.046455059200525284, 0.012247694656252861, -0.06505730748176575, -0.008957458660006523, -0.08512775599956512, 0.0963275358080864, -0.0494830459356308, 0.032490041106939316, 0.004215197637677193, -0.03923307731747627, 0.040430549532175064, 0.02236825041472912, 0.06856384873390198, 0.01698296330869198, 0.051759615540504456, 0.011991121806204319, -0.06175113469362259, -0.040750160813331604, 0.025752613320946693, -0.030970562249422073, 0.07527387142181396, -0.07399765402078629, -0.0015301174717023969, 0.033827099949121475, -0.020015111193060875, 0.005963121075183153, 0.03559140861034393, -0.07645249366760254, 0.02997967228293419, -0.04323040693998337, 0.0015648152912035584, 0.04986942186951637, 0.05908255651593208, -0.08855535835027695, -0.09040238708257675, 0.009672791697084904, 0.06544210016727448, -0.08674244582653046, -0.020944371819496155, 0.04840521141886711, 0.009462393820285797, 0.0003055156266782433, 0.03806082904338837, 0.042196616530418396, -0.0012982359621673822, -0.05119401589035988, -0.036779746413230896, -0.06299906224012375, -0.011724662035703659, 0.023699233308434486, 0.06553443521261215, 0.020842554047703743, 0.06621184200048447, 0.03395678848028183, -0.007356926798820496, 0.10953100025653839, -0.013160459697246552, 0.03510948643088341, 0.03428852930665016, -0.013430848717689514, -0.033106762915849686, -0.05677330866456032, -0.010892750695347786, 0.03776491805911064, 0.0063377562910318375, 0.08370773494243622, -0.02118801698088646, -0.06630204617977142, -0.045959651470184326, -0.006442234385758638, -0.05781221762299538, -0.10140080749988556, 0.055887605994939804, -0.06981036812067032, -0.03911757841706276, -0.0615369938313961, 0.025926606729626656, 0.03311420604586601, -0.041742898523807526, -0.01920490339398384, 0.05111848935484886, 0.019752060994505882, 0.049345728009939194, -0.05243120715022087, -0.023340042680501938, -0.03838746249675751, 0.08084984123706818, 0.030122060328722, -0.004393335431814194, -0.047169510275125504, -0.028377220034599304, 0.08409365266561508, 0.06557577848434448, -0.0025512422434985638, 0.009049398824572563, 0.018539462238550186, -0.04712343215942383, 0.024834604933857918, -0.031944312155246735, -0.018446359783411026, 0.044459566473960876, 0.03517444059252739, -0.08769729733467102, 0.01655467040836811, -0.05175991728901863, -0.05307545140385628, -0.08634304255247116, 0.002153808018192649, -0.03660712018609047, 0.059764280915260315, -0.05113362520933151, -0.009014476090669632, -0.011646619066596031, 0.024406449869275093, -0.0002198593720095232, -0.021560465916991234, 0.01586311124265194, -0.07020963728427887, -0.018011467531323433, -0.013625005260109901, 0.033359527587890625, -0.06547758728265762, -0.01088246051222086, 0.0035298496950417757, -0.04153633117675781, 0.049458615481853485, -0.044388867914676666, 0.05104885622859001, -0.048109110444784164, -0.015504398383200169, 0.03442618250846863, 0.0018807105952873826, -0.03898092731833458, -0.06548366695642471, 0.02195657789707184, -0.07806675136089325, -0.02532472088932991, -0.03517933189868927, 0.021603457629680634, -0.03094451315701008, -0.05580727756023407, 0.056047387421131134, 0.06518100947141647, -0.05539552494883537, 0.036435261368751526, -0.020011406391859055, -0.025213275104761124, 0.0005972363869659603, -0.01889113336801529, -0.06249769777059555, -0.0009892958914861083, -0.06734335422515869, 0.003200676990672946, 0.08506479114294052, -0.01481615286320448, -0.06079128012061119, 0.004734425339847803, 0.05770342797040939, -0.04014279320836067, -0.05686895549297333, -0.03720314800739288, 0.002531958045437932, 0.03225850313901901, -0.001990110380575061, 0.0036370414309203625, -0.05822669714689255, -0.059266701340675354, -0.03795073181390762, 0.09266074001789093, -0.03191626816987991, -0.021440187469124794, 0.057642534375190735, -0.01469381246715784, -0.05538010969758034, 0.008591912686824799, 0.035195350646972656, -0.038519278168678284, 0.024258527904748917, -0.011885208077728748, 0.03258305415511131, 0.06909745186567307, -0.014117755927145481, 0.015991324558854103, -0.0037763905711472034, -0.03153377026319504, -0.08307771384716034, 0.06278286874294281, 0.0032839279156178236, 0.012342184782028198, -0.03391074016690254, -0.09164051711559296, -0.033397652208805084, 0.028790805488824844, -0.07275786995887756, -0.06700402498245239, 0.10332449525594711, -0.01117305364459753, 0.04527844488620758, -0.004050733521580696, -0.04489610716700554, -0.0677715316414833, -0.019547948613762856, -0.0638166069984436, 0.01370619423687458, -0.02754674293100834, -0.06656678020954132, 0.0034928929526358843, 0.039935920387506485, 0.027697069570422173, -0.004679413512349129, 0.01370159350335598, -0.10200771689414978, 0.05069839954376221, 0.03493456542491913, 0.022525273263454437, 0.06620073318481445, 0.038398612290620804, -0.00750100938603282, -0.06751970201730728, 0.058225955814123154, -0.019293809309601784, 0.00019609536684583873, -0.05673089623451233, 0.037742048501968384, 0.02872263453900814, 0.035230305045843124, 0.0036217905580997467, -0.0035258105490356684, 0.0026076992508023977, -0.024981239810585976, 0.042021479457616806, 0.041354577988386154, -0.043435245752334595, -0.04085521772503853, -0.04515368863940239, -0.03520088270306587, -0.07632765918970108, 0.039330657571554184, 0.04108159989118576, 0.05091303959488869, -0.029458362609148026, 0.0014589113416150212, 0.0017208661884069443, 0.05236189067363739, 0.04781252518296242, -0.0022473104763776064, 0.03475460037589073, 0.0053246719762682915, -0.019326671957969666, 0.07834931463003159, 0.06939418613910675, -0.0033782613463699818, 0.018756140023469925, 0.08064182847738266, -0.02279111184179783, 0.04014430195093155, -0.03501727804541588, -0.012452454306185246, -0.05359071120619774, 0.04244328662753105, -0.02262687310576439, -0.05463473126292229, -0.04582696408033371, -0.004824195057153702, -0.026950212195515633, -0.0005954026710242033, -0.03391904756426811, -0.04624895751476288, 0.03403470665216446, 0.001883290708065033, 0.0710175484418869, 0.01875179633498192, 0.03306340053677559, -0.0380181185901165, 0.024764137342572212, 0.013162156566977501, 0.005521290935575962, 0.0373542346060276, -0.04997045546770096, 0.022618334740400314, -0.04939703270792961, -0.00784771516919136, -0.017592255026102066, 0.03908810019493103, 0.026368167251348495, 0.05799640342593193, 0.035775039345026016, 0.04265192151069641, -0.026716919615864754, -0.06060954928398132, -0.03497970849275589, 0.06300066411495209, 0.017725160345435143, -0.027204604819417, 0.0606679692864418, -0.03628680109977722, 0.005727767013013363, -0.046500928699970245, -0.0017496375367045403, 0.058385834097862244, -0.026233593001961708, 0.05486207455396652, 0.0961546003818512, 0.04689238592982292, 0.03231927752494812, -0.028602339327335358, -0.014365987852215767, 0.017945028841495514, 0.08520622551441193, 0.004286624025553465, 0.0794777125120163, 0.022479910403490067, 0.027998853474855423, 0.027291910722851753, 0.04990069940686226, 0.07670024782419205, -0.036181285977363586, -0.007089186459779739, -0.0005055792862549424, 0.019764447584748268, -0.032451316714286804, -0.0940743088722229, -0.06342436373233795, 0.0019073286093771458, 0.0507272407412529, 0.00251977052539587, -0.026362841948866844, -0.01684906892478466, -0.08111060410737991, 0.02294340170919895, -0.0426999069750309, -0.012821696698665619, 0.025922128930687904, -0.02431531995534897, 0.03562530130147934, -0.015046985819935799, 0.05146121233701706, -0.040830694139003754, 0.02855175919830799, -0.03383272513747215, 0.0013375148409977555, -0.00785122998058796, -0.008918325416743755, 0.01944519765675068, -0.016083257272839546, -0.08852845430374146, 0.02644922398030758, -0.04888754338026047, 0.059870000928640366, -0.010429988615214825, 0.10569166392087936, 0.08839571475982666, 0.007333111017942429, 0.06867823749780655, -0.016077686101198196, -0.007052079774439335, 0.012173471041023731, -0.052357494831085205, -0.05237853527069092, 0.042145222425460815, 0.07558184117078781, -0.02759348414838314, 0.011748606339097023, 0.053250428289175034, -0.044445160776376724, -0.02843667007982731, 0.004803546704351902, -0.0046161809004843235, -0.013847297057509422, 0.004453971050679684, 0.06037622690200806, 0.06189269945025444, 0.05600651726126671, -0.020053816959261894, -0.0197466891258955, -0.0699351504445076, 0.030289148911833763, 0.026026597246527672, 0.039215490221977234, 0.039526283740997314, -0.008759276010096073, 0.10431553423404694, -0.06270528584718704, -0.00428037391975522, -0.08536434918642044, 0.0448763445019722, -0.00905642844736576, -0.016298091039061546, 0.01191228348761797, 0.02303401753306389, 0.020347177982330322, 0.0701613798737526, -0.029078586027026176, 0.013229667209088802, -0.02450789511203766, -0.0064366585575044155, 0.07786712795495987, 0.05161089450120926, -0.05141223222017288, 0.018107527866959572, -0.014699441380798817, 0.01771974377334118, -0.0858355164527893, -0.05912906676530838, -0.008935485035181046, -0.013486403971910477, -0.03297918662428856, 0.037877291440963745, -0.025677727535367012, 0.011778279207646847, -0.07111680507659912, 0.07558093219995499, -0.017532583326101303, 0.045426398515701294, 0.006396600976586342, 0.0021104461047798395, 0.058279577642679214, 0.06988346576690674, -0.009043577127158642]"
